       x0    y0  ntremor  t_lin_lin_EW  t_lin_pow_EW  t_lin_PWS_EW  t_lin_lin_NS  t_lin_pow_NS  t_lin_PWS_NS  t_pow_lin_EW  t_pow_pow_EW  t_pow_PWS_EW  t_pow_lin_NS  t_pow_pow_NS  t_pow_PWS_NS  t_PWS_lin_EW  t_PWS_pow_EW  t_PWS_PWS_EW  t_PWS_lin_NS  t_PWS_pow_NS  t_PWS_PWS_NS  t_lin_lin_EW_cluster  t_lin_pow_EW_cluster  t_lin_PWS_EW_cluster  t_lin_lin_NS_cluster  t_lin_pow_NS_cluster  t_lin_PWS_NS_cluster  t_pow_lin_EW_cluster  t_pow_pow_EW_cluster  t_pow_PWS_EW_cluster  t_pow_lin_NS_cluster  t_pow_pow_NS_cluster  t_pow_PWS_NS_cluster  t_PWS_lin_EW_cluster  t_PWS_pow_EW_cluster  t_PWS_PWS_EW_cluster  t_PWS_lin_NS_cluster  t_PWS_pow_NS_cluster  t_PWS_PWS_NS_cluster  cc_lin_lin_EW_cluster  cc_lin_pow_EW_cluster  cc_lin_PWS_EW_cluster  cc_lin_lin_NS_cluster  cc_lin_pow_NS_cluster  cc_lin_PWS_NS_cluster  cc_pow_lin_EW_cluster  cc_pow_pow_EW_cluster  cc_pow_PWS_EW_cluster  cc_pow_lin_NS_cluster  cc_pow_pow_NS_cluster  cc_pow_PWS_NS_cluster  cc_PWS_lin_EW_cluster  cc_PWS_pow_EW_cluster  cc_PWS_PWS_EW_cluster  cc_PWS_lin_NS_cluster  cc_PWS_pow_NS_cluster  cc_PWS_PWS_NS_cluster
10  -25.0  25.0      279          5.65          5.65          5.65          6.85          6.85          6.70          5.50          5.65          5.50          5.20          6.85          6.80          5.50          5.50          5.65          6.80          6.80          6.85                  5.65                  5.65                  5.65                  6.00                  6.85                  6.80                  5.50                  5.65                  6.45                  5.20                  5.20                  6.80                  5.50                  5.65                  5.65                  6.55                  6.80                  6.85               0.010048               0.380378               0.000818               0.011042               0.704236               0.002580               0.079839               1.131804               0.001987               0.070859               1.805542               0.005761               0.004686               0.067452               0.000108               0.003497               0.118744               0.000268
11  -20.0 -25.0       89          6.10          5.95          6.10          5.75          5.75          5.75          6.10          5.95          6.10          6.15          5.75          5.60          6.10          5.95          5.95          6.15          5.75          5.60                  6.10                  6.10                  6.10                  6.15                  5.75                  5.70                  6.25                  6.10                  6.10                  6.20                  4.90                  4.90                  5.25                  6.10                  6.20                  6.20                  6.15                  5.75               0.012226               0.182220               0.002005               0.017759               0.448197               0.001723               0.103448               1.145742               0.010652               0.174119               2.151569               0.012878               0.007346               0.036903               0.000631               0.008603               0.122304               0.001985
12  -20.0 -20.0      166          5.35          5.85          5.70          5.55          5.20          5.20          5.35          5.50          5.35          5.55          5.20          5.20          5.35          5.50          5.40          5.55          5.90          5.75                  5.50                  5.50                  5.70                  5.55                  5.75                  5.75                  5.35                  5.50                  5.35                  5.55                  5.55                  5.55                  5.35                  5.35                  5.40                  5.55                  5.40                  5.40               0.019965               0.527486               0.003117               0.022945               0.974060               0.006266               0.123412               2.515114               0.008091               0.116551               3.981790               0.017322               0.010455               0.321930               0.000560               0.006991               0.172077               0.000433
13  -20.0 -15.0      227          5.30          5.45          5.45          5.55          5.55          5.55          5.10          5.30          5.35          5.55          5.55          5.50          5.10          5.30          5.35          5.55          5.55          5.50                  5.30                  5.15                  5.50                  5.55                  5.40                  5.40                  5.35                  5.30                  5.50                  5.55                  5.55                  5.40                  5.35                  5.35                  5.35                  5.55                  5.55                  5.55               0.022913               0.484184               0.001989               0.032010               1.090672               0.006573               0.173169               3.700405               0.017436               0.162237               5.660581               0.034842               0.016709               0.377806               0.002750               0.014764               0.410714               0.004257
14  -20.0 -10.0      251          4.45          4.45          4.45          5.30          5.30          5.30          4.45          4.45          4.45          5.30          5.30          5.30          4.45          4.45          4.45          5.50          5.30          5.30                  5.25                  5.10                  4.45                  5.70                  5.70                  5.30                  5.25                  4.45                  4.45                  5.50                  5.50                  5.30                  5.25                  5.25                  5.20                  5.50                  5.35                  5.30               0.022841               0.942279               0.002411               0.022320               1.248987               0.001998               0.122795               5.182190               0.022122               0.153605               5.770473               0.024404               0.009561               0.244211               0.000621               0.013860               0.589101               0.001994
15  -20.0  -5.0      181          4.85          4.85          4.85          5.50          5.50          5.50          4.85          4.85          4.85          5.50          5.50          5.50          5.25          4.85          4.85          5.50          5.50          5.50                  5.25                  4.85                  5.25                  5.50                  5.70                  5.70                  5.25                  5.25                  5.25                  5.50                  5.50                  5.50                  5.25                  5.25                  5.25                  5.50                  5.50                  5.50               0.015239               0.244789               0.000687               0.026677               0.957431               0.006250               0.097258               1.072633               0.004892               0.132304               5.047195               0.020985               0.007740               0.111004               0.000365               0.013120               0.412895               0.002026
16  -20.0   0.0      156          7.10          7.25          7.25          5.50          5.50          6.70          7.10          4.70          7.25          5.50          5.50          5.35          7.10          7.25          7.25          5.50          5.50          5.55                  5.25                  5.25                  5.70                  5.50                  5.50                  5.90                  5.25                  5.25                  4.75                  5.50                  5.50                  5.35                  5.25                  5.25                  5.25                  5.50                  5.50                  5.50               0.017051               0.381653               0.001238               0.030189               0.971456               0.007272               0.091107               1.053481               0.006036               0.155026               4.930931               0.031796               0.005848               0.102967               0.000225               0.011426               0.211451               0.000993
17  -20.0   5.0      227          5.55          5.60          5.55          5.70          5.70          5.70          5.55          5.55          5.55          5.70          5.70          5.70          5.60          5.60          5.60          5.70          5.70          5.70                  5.55                  5.55                  5.55                  5.70                  5.70                  5.70                  5.55                  5.55                  5.55                  5.70                  5.70                  5.70                  5.55                  5.55                  5.55                  5.35                  5.35                  5.70               0.029547               1.567839               0.010244               0.036226               2.492652               0.019711               0.150014               7.522269               0.056482               0.182296              10.378554               0.094933               0.006525               0.331343               0.002604               0.010402               0.552731               0.006189
18  -20.0  10.0      210          5.45          5.45          5.45          5.75          5.75          5.75          5.60          5.60          5.45          5.75          5.75          5.75          5.60          5.60          4.15          5.75          5.75          5.75                  5.60                  5.60                  5.45                  5.70                  5.70                  5.75                  5.60                  5.60                  5.60                  5.70                  5.70                  5.75                  5.60                  5.60                  5.60                  5.75                  5.70                  5.75               0.030567               1.242547               0.009804               0.024126               1.164076               0.012271               0.106697               6.647004               0.039517               0.092830               5.073921               0.046278               0.006414               0.407809               0.001869               0.007135               0.228875               0.001024
19  -20.0  15.0      175          4.05          4.70          4.70          4.10          6.70          6.80          4.05          4.05          4.00          6.70          6.70          5.85          7.25          4.05          4.65          5.20          6.70          6.80                  4.05                  4.05                  4.05                  4.10                  6.70                  6.55                  4.05                  3.90                  3.90                  4.10                  8.00                  6.65                  3.85                  3.85                  3.25                  6.70                  6.70                  8.00               0.015079               0.471200               0.002196               0.015054               0.447606               0.002091               0.046017               1.556962               0.009250               0.076156               1.366311               0.019944               0.003443               0.097156               0.001260               0.003922               0.098262               0.000462
20  -20.0  20.0      296          4.40          6.45          6.45          5.85          6.05          6.05          4.40          6.45          6.45          5.85          5.85          6.05          4.40          4.40          4.40          5.85          6.20          6.15                  4.45                  4.45                  4.45                  5.90                  6.05                  6.05                  4.40                  4.45                  4.40                  3.70                  6.05                  6.05                  4.40                  4.40                  4.40                  3.70                  6.05                  6.05               0.021830               0.626949               0.001682               0.016220               1.037635               0.003186               0.078962               3.233635               0.007341               0.060486               2.495582               0.012032               0.006247               0.166932               0.000108               0.005048               0.147159               0.000485
21  -20.0  25.0      346          5.50          6.30          6.30          5.85          5.85          5.85          5.50          5.70          6.35          5.85          5.85          5.85          5.50          5.50          6.30          5.85          5.85          5.85                  5.50                  5.50                  5.50                  5.85                  5.85                  5.85                  5.50                  5.50                  5.50                  5.85                  5.85                  5.85                  5.50                  5.50                  5.50                  5.85                  5.85                  5.85               0.018181               1.324256               0.003238               0.013367               1.056905               0.001885               0.078433               4.118156               0.009865               0.051046               2.194206               0.003827               0.004983               0.325014               0.000769               0.003144               0.210208               0.000365
22  -15.0 -25.0      162          4.70          4.10          3.80          5.90          5.90          5.90          4.70          4.70          3.80          5.90          5.90          5.90          4.70          4.70          3.95          6.05          5.90          5.90                  3.75                  3.80                  3.75                  6.00                  4.85                  4.85                  6.15                  3.75                  5.10                  6.05                  6.00                  5.90                  3.95                  3.75                  5.05                  6.05                  6.05                  5.90               0.010718               0.381120               0.004187               0.010648               0.342298               0.000637               0.036970               1.598482               0.002294               0.052959               0.950606               0.001652               0.002550               0.075089               0.000079               0.006321               0.088833               0.000504
23  -15.0 -20.0      216          5.05          5.10          5.05          5.90          5.90          5.90          5.10          5.10          5.10          5.90          5.90          5.90          5.25          5.10          5.10          5.90          5.90          5.90                  5.25                  4.85                  5.45                  5.90                  5.90                  5.75                  5.25                  4.85                  5.20                  5.90                  5.95                  5.90                  5.25                  5.25                  5.20                  5.90                  5.90                  5.90               0.015439               0.609800               0.002123               0.012568               0.713647               0.001120               0.079670               1.833960               0.007747               0.083824               2.877467               0.013232               0.004443               0.092448               0.000895               0.007760               0.231992               0.000785
