"families"	"mu"	"K"	"alpha"	"c"	"p"	"beta"
"2010.8.16.18.14.12"	0.301976478078811	0.639229630896883	0.557973641365563	0.0402550000000023	4.37306860720253	1.89552918477688
"2010.8.16.18.15.32"	0.0155046292547458	0.617287393999609	0.783328635618023	0.0401140000006312	3.07832463414048	2.13389214591289
"2010.8.19.12.37.19"	0.0309785943518578	0.51260542624615	0.816327378697583	0.0399110000000204	5.33828923050044	2.26267075980967
"2010.8.21.23.54.30"	0.0199871771648711	0.574723298134271	0.340809100231978	0.036991999999998	4.19987557539787	1.48321621816076
"2010.8.25.13.25.15"	0.0140727178376778	0.639058212598022	0.457140748375954	0.0328419999999763	3.559930864046	1.73382076673183
"2010.8.9.6.10.55"	0.0174689795245515	0.755347600992125	0.124978807425411	0.0412930000003197	3.99268921864557	2.09441726448342
"2011.8.14.12.20.2"	0.0254567453450417	0.624902264649289	0.401004386647655	0.0403740000005095	4.20535643566237	1.78194293867737
"2011.8.15.10.36.32"	0.0442463326394883	0.855915783150153	0.466419929662111	0.0408079999999702	3.32261611957517	1.82608751129506
"2011.8.15.10.51.44"	0.0366326945686805	0.466562105177039	0.406804948811215	0.0361130000003735	4.54314172906115	1.31851224711824
"2011.8.15.11.3.42"	0.0686612544372502	0.550045755435298	0.749081230247466	0.0397470000000263	4.89232651077034	1.75458129378117
"2011.8.15.14.18.10"	0.0278620987726875	1.28153869278808	0.277585261345321	0.0406770000000197	3.22745258620889	2.08395696377861
"2011.8.15.8.15.48"	0.142777558043529	1.09151226001496	0.0723259471545968	0.0387519999999481	3.62291271542079	1.85891273482559
"2011.8.16.1.28.14"	0.0925280744514973	0.888004011908969	0.432206750822174	0.0394760000000379	4.30352759546833	2.242726466806
"2011.8.16.13.2.32"	0.0864881216721368	0.667641274778892	0.631001399643994	0.0407930000000094	3.53219514656304	1.37811498816755
"2011.8.16.13.2.46"	0.00979993125562754	0.795807023899039	0.302491146599508	0.0364230000000199	4.03271368662481	1.51712050763496
"2011.8.16.16.37.55"	0.0203053903301799	1.62205486488509	0.0169928369414228	0.0379590000001012	2.70282178603909	1.86540456276474
"2011.8.16.22.58.7"	0.00743370214521482	1.15311971945755	0.291835187543213	0.0405829999999705	3.43604149862067	2.32242251742959
"2011.8.16.23.37.43"	0.0193511271314411	0.702079043569363	0.567951818596333	0.0328800000000403	3.56665979301744	1.6066433458498
"2011.8.16.4.31.10"	0.137071777639382	1.25805893202229	0.267830788861034	0.0347830000000063	3.20458771839654	1.88575921119921
"2011.8.16.7.16.56"	0.0291823316507999	1.09937121306128	0.155771827966368	0.0381350000000112	3.43442762187363	1.91237282363641
"2011.8.17.11.55.20"	0.0263411972724027	1.03096015757792	0.488711021475609	0.040723000000018	3.19057445810671	2.06789155587431
"2011.8.17.20.55.11"	0.0146002641962789	0.836876251526569	0.546225471800183	0.0378649999999111	3.52536904737908	2.20514016015933
"2011.8.17.3.7.4"	0.0126485068092226	0.357576701237201	0.971868852739146	0.0370209999999823	3.83744992090621	1.4307175330625
"2011.8.17.7.5.45"	0.0546642374291764	0.609407714857064	0.855338860566767	0.0409120000000725	3.37997120108466	1.49553513327159
"2011.8.18.0.16.17"	0.0639535938105739	1.31480449255972	0.0476427924993021	0.0389610000000313	3.51945061671569	2.10201574951485
"2011.8.18.1.6.34"	0.0145618038850761	0.68761813180812	0.390539776176843	0.0398740000000745	4.13858943790126	1.91563129855156
"2011.8.18.15.37.30"	0.0698183729181843	0.585819603297302	0.316422130827109	0.0369240000000039	4.18754701452151	1.75923630701177
"2011.8.18.15.40.4"	0.0419984683031347	0.652867547276703	0.00404626756330223	0.0350379868235809	4.53532628159618	1.67045410970854
"2011.8.18.2.0.51"	0.0122569939770332	0.553140688738869	0.846503120840248	0.0387250000001489	3.75706684899815	1.46503913603687
"2011.8.18.2.1.46"	0.0262803877574234	1.21163687484103	0.0848619302065919	0.0393800000008275	3.85100503258925	1.69564771521163
"2011.8.18.21.2.39"	0.0225627309763423	0.957224390409769	0.0494023527624102	0.0371660000000185	3.51224733702094	1.60275541604422
"2011.8.19.1.36.43"	0.0688133019035837	0.891224500588384	0.47510873223139	0.0347629999999995	3.32342877860231	1.93467048939354
"2011.8.19.1.51.20"	0.103675278945588	0.960071277240881	0.229679236485617	0.0387250000000019	3.91193753360624	1.71243565886166
"2011.8.20.4.50.44"	0.0120135948424861	1.21800684852321	0.0896274670752254	0.0406120000000126	3.53156811446314	2.00163484702498
"2011.8.20.4.54.15"	0.0253961183703984	1.33514217563099	0.0790128426520686	0.0377599999999935	3.45641269658491	1.74024869403393
